ng-star-inserted src,marquee-text,event-id,marquee-text 2,marquee-text 3,event-source-type,event-time,Unnamed: 7,Unnamed: 8,full-date
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,42.8W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:13:20,,,2023-03-18 2023-08-25 08:13:20
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:13:17,,,2023-03-18 2023-08-25 08:13:17
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:10:18,,,2023-03-18 2023-08-25 08:10:18
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:10:18,,,2023-03-18 2023-08-25 08:10:18
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,42.6W,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:10:03,,,2023-03-18 2023-08-25 08:10:03
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,42,Luz 1 Dormitorio,Default Section/Dormitorio,Sistema,2023-08-25 08:10:01,,,2023-03-18 2023-08-25 08:10:01
https://home.fibaro.com/newProxyLite?user=743421&hc=YH-00052887&temp=ZTN0ustk_A1NqXRWuq_TiLua3j7Ru_E4BBWzHzMJNhg&req=%2Fassets%2Ficon%2Ffibaro%2Fpilot%2Fpilot.png,AcciÃ³n: Parar,67,Persiana dormitorio,Default Section/Dormitorio,Usuario,2023-08-25 04:23:48,,,2023-03-18 2023-08-25 04:23:48
https://home.fibaro.com/newProxyLite?user=743421&hc=YH-00052887&temp=ZTN0ustk_A1NqXRWuq_TiLua3j7Ru_E4BBWzHzMJNhg&req=%2Fassets%2Ficon%2Ffibaro%2Fpilot%2Fpilot.png,AcciÃ³n: Abrir,67,Persiana dormitorio,Default Section/Dormitorio,Usuario,2023-08-25 04:23:44,,,2023-03-18 2023-08-25 04:23:44
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 02:38:51,,,2023-03-18 2023-08-25 02:38:51
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 02:38:50,,,2023-03-18 2023-08-25 02:38:50
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,30.2W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 02:38:36,,,2023-03-18 2023-08-25 02:38:36
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff100.png,Encendido,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 02:38:33,,,2023-03-18 2023-08-25 02:38:33
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:26:31,,,2023-03-18 2023-08-25 02:26:31
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,9.9W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:26:30,,,2023-03-18 2023-08-25 02:26:30
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.4W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:25:58,,,2023-03-18 2023-08-25 02:25:58
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.3W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:19:43,,,2023-03-18 2023-08-25 02:19:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.3W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:19:43,,,2023-03-18 2023-08-25 02:19:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.5W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:13:27,,,2023-03-18 2023-08-25 02:13:27
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.3W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:07:12,,,2023-03-18 2023-08-25 02:07:12
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.4W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:00:58,,,2023-03-18 2023-08-25 02:00:58
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,1.45kWh,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 02:00:58,,,2023-03-18 2023-08-25 02:00:58
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.5W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 01:54:43,,,2023-03-18 2023-08-25 01:54:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.4W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 01:54:43,,,2023-03-18 2023-08-25 01:54:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.4W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 01:54:43,,,2023-03-18 2023-08-25 01:54:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,1.44kWh,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 01:29:43,,,2023-03-18 2023-08-25 01:29:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.3W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 01:10:57,,,2023-03-18 2023-08-25 01:10:57
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.4W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 01:04:43,,,2023-03-18 2023-08-25 01:04:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,1.43kWh,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:58:28,,,2023-03-18 2023-08-25 00:58:28
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.6W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:58:28,,,2023-03-18 2023-08-25 00:58:28
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,19.7W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:52:12,,,2023-03-18 2023-08-25 00:52:12
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,20W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:45:57,,,2023-03-18 2023-08-25 00:45:57
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,20.7W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:39:43,,,2023-03-18 2023-08-25 00:39:43
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,20.2W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:33:28,,,2023-03-18 2023-08-25 00:33:28
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,18W,57,Enchufe salÃ³n 2,Default Section/SalÃ³n,Sistema,2023-08-25 00:30:31,,,2023-03-18 2023-08-25 00:30:31
https://home.fibaro.com/assets/icon/fibaro/energy_meter/energy_meter.png,0W,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 00:30:23,,,2023-03-18 2023-08-25 00:30:23
https://home.fibaro.com/assets/icon/fibaro/onoff/onoff0.png,Apagado,36,Luz 1 salÃ³n,Default Section/SalÃ³n,Sistema,2023-08-25 00:30:23,,,2023-03-18 2023-08-25 00:30:23
